county,num_households,mean_income,percent_employed,percent_bachelors,percent_graduate,percent_hoh_married,percent_hh_over65,percent_born_us,percent_broadband,state
"Baldwin County, Alabama",105959.0,123941,59.1,35.4,12.9,56.4,42.1,94.5,93.0,Alabama
"Calhoun County, Alabama",44348.0,85294,56.6,19.6,6.5,41.2,35.2,94.1,90.7,Alabama
"Cullman County, Alabama",35600.0,103369,56.1,18.5,6.7,52.6,36.4,97.6,89.4,Alabama
"DeKalb County, Alabama",26552.0,100621,55.1,16.1,4.8,47.6,35.4,91.8,89.8,Alabama
"Elmore County, Alabama",34127.0,118714,61.7,29.7,12.9,51.2,31.4,97.9,92.5,Alabama
"Etowah County, Alabama",41085.0,87980,55.7,19.8,7.6,49.2,35.4,96.5,90.5,Alabama
"Houston County, Alabama",45336.0,98286,58.8,24.4,8.6,44.2,33.8,95.4,91.2,Alabama
"Jefferson County, Alabama",272685.0,125325,63.1,38.6,16.1,39.9,31.8,93.6,94.0,Alabama
"Lauderdale County, Alabama",40809.0,111953,60.6,34.3,11.4,52.5,34.9,97.4,92.4,Alabama
"Lee County, Alabama",72421.0,125481,64.0,45.0,20.4,46.2,25.9,90.4,94.2,Alabama
"Limestone County, Alabama",42962.0,130199,60.9,31.3,12.8,50.3,30.5,95.4,88.6,Alabama
"Madison County, Alabama",172163.0,141170,66.8,47.3,18.7,47.6,27.9,91.4,95.2,Alabama
"Marshall County, Alabama",38373.0,100260,59.0,20.3,7.4,50.7,33.3,90.6,92.3,Alabama
"Mobile County, Alabama",161526.0,100628,59.9,27.5,9.8,40.6,34.7,95.5,92.7,Alabama
"Montgomery County, Alabama",93382.0,112478,59.2,35.9,16.6,35.0,30.6,92.8,92.6,Alabama
"Morgan County, Alabama",48609.0,112488,56.8,25.0,9.5,45.2,34.1,93.8,91.4,Alabama
"St. Clair County, Alabama",36931.0,101481,57.7,23.7,9.2,55.9,34.1,97.2,93.3,Alabama
"Shelby County, Alabama",90532.0,148808,67.3,49.7,16.6,61.2,31.7,94.1,95.9,Alabama
"Anchorage Municipality, Alaska",109479.0,161645,71.2,39.9,16.6,48.5,25.6,86.8,94.2,Alaska
"Talladega County, Alabama",34443.0,85623,51.9,15.9,8.5,42.4,36.4,97.5,84.9,Alabama
"Tuscaloosa County, Alabama",94445.0,108446,63.1,33.5,16.8,41.1,27.4,93.5,91.5,Alabama
"Walker County, Alabama",26196.0,92649,52.2,15.9,6.9,46.9,37.9,97.1,87.4,Alabama
"Fairbanks North Star Borough, Alaska",36358.0,140300,68.8,33.8,14.2,48.1,23.5,91.4,94.0,Alaska
"Matanuska-Susitna Borough, Alaska",39440.0,137981,60.3,27.2,9.3,59.0,30.3,95.8,94.5,Alaska
"Apache County, Arizona",22874.0,65803,43.6,19.1,9.5,36.0,42.1,97.6,70.1,Arizona
"Cochise County, Arizona",53712.0,92584,51.1,26.6,11.4,44.1,47.0,85.4,91.7,Arizona
"Coconino County, Arizona",59124.0,131176,66.1,44.0,17.2,40.9,30.2,93.1,87.2,Arizona
"Maricopa County, Arizona",1795830.0,142398,65.9,38.6,15.1,46.4,31.2,83.2,94.7,Arizona
"Mohave County, Arizona",112957.0,103200,47.5,14.6,4.7,46.4,52.8,92.6,90.2,Arizona
"Navajo County, Arizona",44008.0,77954,48.4,22.5,9.0,46.3,38.7,97.5,79.2,Arizona
"Pima County, Arizona",453787.0,121486,58.1,37.9,17.0,43.1,39.0,85.5,94.2,Arizona
"Pinal County, Arizona",171548.0,113840,54.8,22.3,7.6,56.8,42.3,90.2,93.3,Arizona
"Yavapai County, Arizona",114986.0,111299,48.2,32.1,13.0,52.4,53.6,92.5,94.2,Arizona
"Yuma County, Arizona",83795.0,95128,51.7,17.1,6.6,52.1,40.4,74.3,91.9,Arizona
"Benton County, Arkansas",122269.0,148766,67.3,41.3,15.8,56.5,26.1,85.7,96.4,Arkansas
"Craighead County, Arkansas",46463.0,100645,61.9,32.9,13.3,45.1,26.0,95.0,90.3,Arkansas
"Faulkner County, Arkansas",50276.0,110264,66.0,38.1,13.8,48.0,24.9,95.4,94.8,Arkansas
"Garland County, Arkansas",44723.0,101134,53.9,23.2,8.8,49.2,42.5,95.4,91.1,Arkansas
"Jefferson County, Arkansas",25119.0,96114,52.9,19.2,6.8,34.7,37.5,98.0,90.4,Arkansas
"Lonoke County, Arkansas",29634.0,105164,63.5,22.7,8.3,56.3,26.8,95.6,93.4,Arkansas
"Pulaski County, Arkansas",178578.0,113821,62.8,38.8,14.9,39.0,29.5,92.2,93.7,Arkansas
"Saline County, Arkansas",50696.0,104600,59.8,32.1,9.0,55.5,33.9,92.1,89.9,Arkansas
"Sebastian County, Arkansas",52985.0,97730,61.9,23.5,8.0,51.9,31.3,89.0,92.8,Arkansas
"Washington County, Arkansas",99868.0,122130,64.4,35.7,15.6,48.0,23.9,85.9,94.8,Arkansas
"White County, Arkansas",31703.0,82720,58.5,19.7,7.8,45.0,35.0,97.1,87.4,Arkansas
"Alameda County, California",612675.0,204418,67.4,53.4,24.1,48.4,30.5,62.8,95.5,California
"Butte County, California",85034.0,107120,59.4,31.2,11.2,38.2,34.4,89.2,94.9,California
"Contra Costa County, California",417686.0,197493,63.8,46.2,18.6,54.9,34.9,70.2,96.3,California
"El Dorado County, California",79852.0,175969,58.8,42.4,14.2,58.3,42.3,88.6,94.3,California
"Fresno County, California",331460.0,108079,62.8,24.7,8.5,45.8,30.4,77.6,91.5,California
"Humboldt County, California",55558.0,105371,56.5,34.6,13.7,36.7,37.4,93.7,91.5,California
"Imperial County, California",51165.0,89711,54.0,18.9,5.1,49.9,35.0,66.2,95.5,California
"Kern County, California",292654.0,99463,59.1,19.3,7.0,47.9,29.2,77.5,93.8,California
"Kings County, California",45561.0,102810,59.2,16.1,5.7,49.9,27.2,78.7,82.6,California
"Lake County, California",27912.0,92462,52.2,16.1,6.6,33.4,45.5,87.3,93.0,California
"Los Angeles County, California",3485810.0,144515,65.6,37.2,13.4,42.6,32.0,64.6,95.1,California
"Madera County, California",47641.0,103726,57.6,16.3,7.0,51.0,34.1,76.8,93.6,California
"Marin County, California",101974.0,300610,61.7,61.5,25.7,50.3,44.6,78.5,96.8,California
"Mendocino County, California",35865.0,109903,55.6,23.3,9.2,38.7,42.5,85.8,94.0,California
"Merced County, California",87632.0,93622,60.8,15.7,4.7,45.3,29.3,73.5,90.9,California
"Monterey County, California",132591.0,130856,61.2,28.8,12.3,49.5,35.9,68.0,92.9,California
"Napa County, California",49477.0,196224,63.0,40.6,14.0,50.1,41.8,78.3,94.0,California
"Nevada County, California",44052.0,167364,57.6,48.2,16.5,50.0,49.2,92.4,94.2,California
"Orange County, California",1098129.0,171034,65.5,44.7,16.6,52.6,34.7,67.0,96.2,California
"Placer County, California",164093.0,167527,61.3,42.3,13.8,58.6,37.8,84.4,95.2,California
"Riverside County, California",797569.0,129854,61.6,26.2,9.5,53.1,35.6,76.2,95.2,California
"Sacramento County, California",578787.0,137281,64.4,35.6,12.5,45.6,32.1,74.6,95.4,California
"San Benito County, California",21057.0,133450,68.2,26.9,7.6,60.5,32.0,79.9,96.4,California
"San Bernardino County, California",687092.0,119128,62.4,24.1,8.8,49.8,30.9,76.4,94.6,California
"San Diego County, California",1185092.0,163582,66.4,45.2,18.5,48.9,31.6,74.1,96.2,California
"San Francisco County, California",371841.0,255608,70.0,60.9,25.7,32.7,29.2,63.7,93.8,California
"San Joaquin County, California",252693.0,127090,61.8,25.4,8.0,52.1,32.8,71.5,94.2,California
"San Luis Obispo County, California",111382.0,149743,57.3,40.2,17.1,51.1,40.1,89.0,94.9,California
"San Mateo County, California",266249.0,265388,68.0,54.9,24.9,53.0,34.7,62.2,96.1,California
"Santa Barbara County, California",150509.0,154758,62.0,38.6,15.7,47.1,36.4,76.1,92.3,California
"Santa Clara County, California",672426.0,259837,67.7,57.3,29.2,53.6,29.9,56.2,96.6,California
"Santa Cruz County, California",97918.0,180252,60.9,44.1,19.1,43.6,38.5,81.7,94.9,California
"Shasta County, California",72380.0,114908,57.2,25.0,8.2,48.8,39.2,93.9,93.4,California
"Solano County, California",160415.0,141281,61.1,29.7,9.4,48.7,35.4,76.0,94.7,California
"Sonoma County, California",193185.0,159683,63.4,40.1,15.2,46.9,41.0,82.2,95.4,California
"Stanislaus County, California",181365.0,113480,62.1,19.7,6.4,49.1,32.2,77.1,93.7,California
"Sutter County, California",32642.0,118635,60.7,23.0,8.9,54.9,40.2,75.6,89.6,California
"Tehama County, California",25312.0,94925,56.3,15.0,4.0,45.6,37.7,88.3,94.2,California
"Tulare County, California",147315.0,98645,63.5,18.3,6.0,50.4,28.8,76.6,92.9,California
"Ventura County, California",282950.0,163491,64.7,37.6,14.7,53.9,38.5,75.4,95.4,California
"Yolo County, California",77486.0,153847,60.0,46.8,20.1,45.4,29.3,78.8,93.0,California
"Yuba County, California",30250.0,115040,64.0,18.7,4.3,51.1,29.3,83.9,94.0,California
"Adams County, Colorado",196983.0,135405,73.6,31.3,10.5,49.4,24.5,82.8,95.2,Colorado
"Arapahoe County, Colorado",263763.0,161229,72.7,48.4,19.0,48.2,26.8,80.5,95.7,Colorado
"Boulder County, Colorado",140238.0,199013,66.9,66.5,31.2,41.7,29.1,88.2,96.4,Colorado
"Broomfield County, Colorado",33695.0,180738,72.6,64.4,28.4,50.6,26.4,87.1,97.2,Colorado
"Denver County, Colorado",349785.0,186493,73.8,58.6,24.3,33.6,20.6,81.7,95.0,Colorado
"Douglas County, Colorado",147825.0,215680,71.9,64.0,23.3,63.5,28.2,89.8,97.9,Colorado
"El Paso County, Colorado",304631.0,136554,68.1,42.8,17.5,52.2,26.4,88.5,95.4,Colorado
"Jefferson County, Colorado",246097.0,181359,69.4,54.2,19.9,48.9,31.8,91.6,96.1,Colorado
"Larimer County, Colorado",161464.0,155708,66.8,55.5,22.7,48.2,29.4,93.4,94.0,Colorado
"Capitol Planning Region, Connecticut",395080.0,153565,66.5,42.5,19.6,45.4,34.5,80.0,93.5,Connecticut
"Mesa County, Colorado",68727.0,117904,61.4,37.7,13.7,49.0,37.8,95.5,91.5,Colorado
"Pueblo County, Colorado",70476.0,99394,55.2,26.9,8.9,43.6,36.0,95.6,93.3,Colorado
"Weld County, Colorado",131650.0,142321,70.5,33.9,12.6,54.9,27.1,88.9,94.8,Colorado
"Greater Bridgeport Planning Region, Connecticut",120236.0,178705,65.5,39.7,17.5,42.8,34.8,74.6,92.9,Connecticut
"Lower Connecticut River Valley Planning Region, Connecticut",74514.0,158362,64.1,46.6,21.7,46.4,39.8,89.0,94.6,Connecticut
"Naugatuck Valley Planning Region, Connecticut",183716.0,128908,65.2,32.6,13.0,45.1,36.3,82.4,92.9,Connecticut
"Northeastern Connecticut Planning Region, Connecticut",40106.0,142221,67.1,27.8,11.9,50.1,36.5,94.0,94.4,Connecticut
"Northwest Hills Planning Region, Connecticut",49067.0,154948,63.7,37.6,16.8,47.5,41.3,88.3,96.5,Connecticut
"South Central Connecticut Planning Region, Connecticut",234206.0,153974,64.9,42.5,20.8,40.5,34.8,80.4,93.6,Connecticut
"Southeastern Connecticut Planning Region, Connecticut",118558.0,135920,64.9,35.9,16.7,42.0,34.9,87.2,93.9,Connecticut
"Western Connecticut Planning Region, Connecticut",239752.0,261544,69.0,56.7,25.2,53.0,34.2,73.8,96.0,Connecticut
"Kent County, Delaware",73100.0,117211,63.7,31.3,13.9,46.7,36.2,91.5,92.5,Delaware
"New Castle County, Delaware",224369.0,142069,66.0,38.7,17.2,45.0,34.2,83.7,94.7,Delaware
"Sussex County, Delaware",114835.0,130072,54.8,33.5,15.0,53.3,51.0,91.0,94.7,Delaware
"District of Columbia, District of Columbia",329687.0,214468,71.3,65.5,38.3,25.0,21.1,82.6,92.5,District of Columbia
"Alachua County, Florida",126187.0,125628,61.7,54.5,27.4,34.7,26.5,85.8,92.2,Florida
"Bay County, Florida",85093.0,117886,64.9,29.9,10.3,46.7,32.1,87.1,96.1,Florida
"Brevard County, Florida",267461.0,119342,56.5,35.7,14.8,47.8,42.9,86.7,94.2,Florida
"Broward County, Florida",756040.0,132460,66.4,38.2,15.4,43.7,35.4,58.5,94.5,Florida
"Charlotte County, Florida",93137.0,121959,43.3,30.2,13.2,53.2,57.2,86.1,94.5,Florida
"Citrus County, Florida",71970.0,106970,41.6,23.1,8.9,49.5,58.8,93.2,95.0,Florida
"Clay County, Florida",88024.0,116972,63.3,27.2,9.0,54.1,34.3,87.7,96.6,Florida
"Collier County, Florida",170126.0,175514,50.1,42.5,18.3,56.9,53.6,71.0,92.7,Florida
"Columbia County, Florida",29171.0,99526,57.4,16.6,6.1,53.4,40.9,93.5,90.7,Florida
"Duval County, Florida",434899.0,118461,67.1,35.6,12.1,41.2,28.6,83.3,94.5,Florida
"Escambia County, Florida",127747.0,107903,62.5,29.3,11.3,39.7,36.1,92.0,93.9,Florida
"Flagler County, Florida",56692.0,128224,52.6,31.2,11.4,50.3,53.4,84.5,91.9,Florida
"Hernando County, Florida",88518.0,103152,51.9,22.1,7.5,48.6,46.2,86.2,94.1,Florida
"Highlands County, Florida",50610.0,89214,47.3,20.8,6.6,48.7,52.0,83.2,92.7,Florida
"Hillsborough County, Florida",606538.0,140055,67.1,39.6,16.0,45.7,28.6,74.7,95.5,Florida
"Indian River County, Florida",76308.0,141308,49.0,38.2,15.1,53.1,55.7,85.2,93.9,Florida
"Lake County, Florida",177877.0,114174,54.3,30.3,11.1,53.2,44.8,83.1,95.0,Florida
"Lee County, Florida",337411.0,133393,56.0,32.4,12.3,52.7,48.0,76.0,94.3,Florida
"Leon County, Florida",127337.0,121060,64.9,51.2,24.8,33.8,27.1,89.6,92.0,Florida
"Manatee County, Florida",195453.0,134493,57.0,37.5,14.1,52.1,46.1,80.7,94.1,Florida
"Marion County, Florida",176194.0,99400,51.3,24.6,8.9,48.3,49.5,82.5,92.5,Florida
"Martin County, Florida",68623.0,156598,50.3,41.1,15.9,54.1,53.0,86.9,93.2,Florida
"Miami-Dade County, Florida",1002537.0,124182,65.7,37.0,13.8,43.2,34.7,41.5,95.0,Florida
"Monroe County, Florida",32077.0,185958,62.0,40.0,14.8,52.8,43.8,77.3,95.8,Florida
"Nassau County, Florida",41919.0,127814,59.7,37.4,14.1,62.8,44.6,93.9,93.8,Florida
"Okaloosa County, Florida",88213.0,126296,65.7,34.8,15.1,49.7,29.3,84.0,95.0,Florida
"Orange County, Florida",560020.0,129129,68.9,40.7,13.9,46.3,25.9,65.4,95.7,Florida
"Osceola County, Florida",166516.0,101940,66.7,34.1,11.1,54.8,29.4,53.6,93.0,Florida
"Palm Beach County, Florida",623577.0,150105,61.0,42.3,16.6,44.8,44.1,68.2,94.0,Florida
"Pasco County, Florida",247671.0,114380,59.7,31.3,11.5,48.2,40.0,83.0,93.9,Florida
"Pinellas County, Florida",434601.0,131870,59.8,38.5,14.9,40.6,43.0,84.8,93.1,Florida
"Polk County, Florida",314272.0,100474,60.5,25.2,8.3,48.9,37.1,76.1,94.2,Florida
"Putnam County, Florida",33349.0,81221,50.8,13.7,4.5,44.6,39.3,92.3,91.7,Florida
"St. Johns County, Florida",132465.0,179025,61.2,55.6,21.6,61.0,37.7,86.8,96.3,Florida
"St. Lucie County, Florida",150845.0,107391,57.0,27.0,10.2,50.4,43.9,75.2,95.2,Florida
"Santa Rosa County, Florida",75151.0,131869,60.0,33.3,12.2,59.3,32.9,92.1,95.9,Florida
"Sarasota County, Florida",225791.0,147209,49.3,42.6,17.5,51.9,55.2,84.7,94.4,Florida
"Seminole County, Florida",190920.0,134441,66.1,43.7,15.2,47.3,31.0,77.8,96.7,Florida
"Sumter County, Florida",77562.0,121114,25.6,35.7,14.4,57.0,71.7,91.8,92.4,Florida
"Volusia County, Florida",251180.0,110896,55.3,29.7,10.7,45.6,43.3,86.2,94.4,Florida
"Walton County, Florida",36281.0,144870,60.4,35.1,14.5,51.5,35.6,92.2,95.0,Florida
"Barrow County, Georgia",33148.0,109960,68.7,23.2,8.8,57.3,27.4,88.1,96.1,Georgia
"Bartow County, Georgia",45388.0,122686,66.5,26.2,9.1,59.5,29.8,92.3,95.2,Georgia
"Bibb County, Georgia",60386.0,92981,55.4,26.8,12.1,31.6,32.4,94.9,88.6,Georgia
"Bulloch County, Georgia",32074.0,85990,61.9,32.0,14.2,36.4,24.4,94.5,90.8,Georgia
"Carroll County, Georgia",45427.0,102330,63.3,25.2,8.5,52.1,30.6,93.6,92.7,Georgia
"Catoosa County, Georgia",27431.0,102193,62.6,26.0,10.2,53.6,32.1,95.4,90.5,Georgia
"Chatham County, Georgia",118521.0,124690,64.7,38.9,16.8,40.5,29.7,88.1,91.9,Georgia
"Cherokee County, Georgia",107371.0,157642,67.5,46.1,17.1,62.5,31.2,88.3,96.7,Georgia
"Clarke County, Georgia",54728.0,110274,64.1,41.4,21.6,27.8,24.0,88.0,93.1,Georgia
"Clayton County, Georgia",104436.0,82436,66.2,23.4,8.2,29.8,25.5,83.7,92.4,Georgia
"Cobb County, Georgia",301221.0,164802,69.6,52.1,20.4,49.0,27.1,81.8,96.8,Georgia
"Columbia County, Georgia",62306.0,134665,64.4,39.1,16.9,55.7,31.5,90.5,94.3,Georgia
"Coweta County, Georgia",58017.0,130581,66.1,36.0,15.1,59.4,30.4,91.9,97.3,Georgia
"DeKalb County, Georgia",309812.0,145759,69.9,48.5,21.1,36.1,27.3,81.2,95.3,Georgia
"Dougherty County, Georgia",32487.0,75014,56.9,21.0,11.1,29.8,33.3,96.5,84.5,Georgia
"Douglas County, Georgia",52527.0,112199,67.0,29.3,11.7,47.9,26.9,89.4,95.6,Georgia
"Effingham County, Georgia",25727.0,114531,69.6,21.7,8.0,52.8,28.0,93.0,91.1,Georgia
"Fayette County, Georgia",46458.0,186331,60.7,55.3,19.5,63.1,39.5,86.8,95.2,Georgia
"Floyd County, Georgia",36462.0,108792,58.3,25.4,9.7,47.1,32.3,90.6,87.5,Georgia
"Forsyth County, Georgia",93592.0,198419,68.5,59.0,22.5,71.3,24.2,73.0,98.2,Georgia
"Fulton County, Georgia",463155.0,199516,70.6,60.7,25.9,37.3,23.7,84.0,95.3,Georgia
"Glynn County, Georgia",38669.0,127409,62.2,36.7,13.8,49.0,39.7,94.0,94.3,Georgia
"Gwinnett County, Georgia",334891.0,130422,69.4,40.6,14.9,52.3,25.9,67.1,96.9,Georgia
"Hall County, Georgia",77868.0,127263,63.2,30.1,12.5,54.5,33.1,82.2,93.8,Georgia
"Henry County, Georgia",91706.0,117444,71.5,32.4,13.2,49.2,26.9,88.4,96.8,Georgia
"Houston County, Georgia",68125.0,107707,61.4,30.1,13.1,50.7,27.2,90.5,93.4,Georgia
"Jackson County, Georgia",32367.0,128231,67.2,31.7,10.9,65.8,29.3,89.7,95.6,Georgia
"Liberty County, Georgia",25369.0,78156,68.1,18.7,6.6,46.3,22.9,89.4,95.0,Georgia
"Lowndes County, Georgia",46461.0,98794,62.5,31.1,12.7,41.9,27.5,94.0,89.8,Georgia
"Muscogee County, Georgia",81378.0,102011,60.5,27.8,12.0,34.6,30.4,91.0,94.6,Georgia
"Newton County, Georgia",43003.0,104946,61.1,28.4,11.4,44.9,26.2,90.4,95.2,Georgia
"Paulding County, Georgia",62743.0,121605,70.6,30.5,10.3,60.1,27.3,89.0,95.5,Georgia
"Richmond County, Georgia",81264.0,92242,61.8,24.1,10.4,31.5,30.1,93.2,90.9,Georgia
"Rockdale County, Georgia",36299.0,111204,67.2,33.1,15.6,46.5,34.9,87.6,93.9,Georgia
"Spalding County, Georgia",25877.0,92441,54.4,17.5,4.8,41.1,41.2,94.5,95.6,Georgia
"Whitfield County, Georgia",37317.0,100784,62.2,18.6,9.5,46.3,31.4,78.9,90.2,Georgia
"Troup County, Georgia",27815.0,88848,60.1,22.6,10.2,47.2,31.9,94.4,93.8,Georgia
"Walker County, Georgia",26184.0,92341,59.1,22.0,8.3,55.4,39.2,96.1,92.7,Georgia
"Walton County, Georgia",37993.0,115732,62.0,28.4,11.5,57.8,36.5,90.8,94.6,Georgia
"Hawaii County, Hawaii",76569.0,124328,55.5,32.0,12.4,45.3,46.2,84.8,92.9,Hawaii
"Honolulu County, Hawaii",338627.0,153220,65.6,40.1,14.7,50.3,39.9,76.5,93.3,Hawaii
"Kauai County, Hawaii",23310.0,130189,70.1,27.8,12.0,43.7,49.0,84.5,94.7,Hawaii
"Maui County, Hawaii",54607.0,153370,63.4,35.5,11.8,48.5,46.9,80.2,91.0,Hawaii
"Ada County, Idaho",214178.0,146220,65.1,46.3,16.3,51.2,29.9,92.0,94.3,Idaho
"Bannock County, Idaho",33091.0,109034,67.7,32.5,13.0,49.3,28.6,96.0,92.5,Idaho
"Bonneville County, Idaho",45581.0,120068,65.0,35.8,11.9,56.2,28.2,93.9,92.8,Idaho
"Canyon County, Idaho",92496.0,109805,66.5,23.1,6.9,58.4,29.5,88.7,94.5,Idaho
"Kootenai County, Idaho",76775.0,121349,61.5,31.0,10.0,52.8,34.4,96.3,93.6,Idaho
"Twin Falls County, Idaho",36065.0,106159,67.7,24.9,8.6,51.0,30.4,89.9,90.1,Idaho
"Champaign County, Illinois",89598.0,135057,61.5,47.8,26.7,34.2,24.5,84.4,93.4,Illinois
"Cook County, Illinois",2124304.0,147606,66.9,44.3,18.7,38.6,29.8,75.5,92.7,Illinois
"DeKalb County, Illinois",40302.0,123950,68.9,33.8,14.9,41.3,26.3,93.9,93.4,Illinois
"DuPage County, Illinois",351826.0,179914,67.7,52.8,21.4,55.3,33.1,77.7,95.7,Illinois
"Kane County, Illinois",188604.0,150370,69.7,37.8,13.0,54.8,32.7,81.9,93.7,Illinois
"Kankakee County, Illinois",40580.0,109989,64.3,23.0,7.9,45.1,33.0,93.1,90.6,Illinois
"Kendall County, Illinois",47325.0,140476,75.8,41.5,15.6,58.4,27.4,88.1,96.7,Illinois
"Lake County, Illinois",261032.0,185167,67.9,49.1,21.0,55.0,32.1,78.4,95.7,Illinois
"LaSalle County, Illinois",46435.0,116226,60.5,23.7,7.6,43.6,35.9,95.4,88.4,Illinois
"McHenry County, Illinois",120311.0,145075,68.8,35.7,12.5,57.3,32.5,87.5,95.8,Illinois
